,,,With respect to Operations,,,With respect to N,,
,,,X,Y,Z,X,Y,
,100,,10,1003,sample_strategy_1_w10_h500,10,1003,sample_strategy_1_w10_h500
,100,,10,1001,sample_strategy_1_w10_h500,10,1001,sample_strategy_1_w10_h500
,100,,10,1001,sample_strategy_1_w10_h500,10,1001,sample_strategy_1_w10_h500
,100,,10,1003,sample_strategy_1_w10_h500,10,1003,sample_strategy_1_w10_h500
,100,,10,1003,sample_strategy_1_w10_h500,10,1003,sample_strategy_1_w10_h500
,100,,10,1003,sample_strategy_1_w10_h500,10,1003,sample_strategy_1_w10_h500
,100,,10,1003,sample_strategy_1_w10_h500,10,1003,sample_strategy_1_w10_h500
,100,,10,1003,sample_strategy_1_w10_h500,10,1003,sample_strategy_1_w10_h500
,100,,10,1003,sample_strategy_1_w10_h500,10,1003,sample_strategy_1_w10_h500
,100,,20,2004,sample_strategy_1_w20_h500,20,2004,sample_strategy_1_w20_h500
,100,,20,2007,sample_strategy_1_w20_h500,20,2007,sample_strategy_1_w20_h500
,100,,20,2005,sample_strategy_1_w20_h500,20,2005,sample_strategy_1_w20_h500
,100,,20,2005,sample_strategy_1_w20_h500,20,2005,sample_strategy_1_w20_h500
,100,,20,2006,sample_strategy_1_w20_h500,20,2006,sample_strategy_1_w20_h500
,100,,20,2005,sample_strategy_1_w20_h500,20,2005,sample_strategy_1_w20_h500
,100,,20,2005,sample_strategy_1_w20_h500,20,2005,sample_strategy_1_w20_h500
,100,,20,2004,sample_strategy_1_w20_h500,20,2004,sample_strategy_1_w20_h500
,100,,20,2004,sample_strategy_1_w20_h500,20,2004,sample_strategy_1_w20_h500
,100,,50,5012,sample_strategy_1_w50_h500,50,5012,sample_strategy_1_w50_h500
,100,,50,5010,sample_strategy_1_w50_h500,50,5010,sample_strategy_1_w50_h500
,100,,50,5014,sample_strategy_1_w50_h500,50,5014,sample_strategy_1_w50_h500
,100,,50,5010,sample_strategy_1_w50_h500,50,5010,sample_strategy_1_w50_h500
,100,,50,5013,sample_strategy_1_w50_h500,50,5013,sample_strategy_1_w50_h500
,100,,50,5013,sample_strategy_1_w50_h500,50,5013,sample_strategy_1_w50_h500
,100,,50,5011,sample_strategy_1_w50_h500,50,5011,sample_strategy_1_w50_h500
,100,,50,5013,sample_strategy_1_w50_h500,50,5013,sample_strategy_1_w50_h500
,100,,50,5010,sample_strategy_1_w50_h500,50,5010,sample_strategy_1_w50_h500
,100,,100,10029,sample_strategy_1_w100_h500,100,10029,sample_strategy_1_w100_h500
,100,,100,10021,sample_strategy_1_w100_h500,100,10021,sample_strategy_1_w100_h500
,100,,100,10021,sample_strategy_1_w100_h500,100,10021,sample_strategy_1_w100_h500
,100,,100,10024,sample_strategy_1_w100_h500,100,10024,sample_strategy_1_w100_h500
,100,,100,10023,sample_strategy_1_w100_h500,100,10023,sample_strategy_1_w100_h500
,100,,100,10026,sample_strategy_1_w100_h500,100,10026,sample_strategy_1_w100_h500
,100,,100,10024,sample_strategy_1_w100_h500,100,10024,sample_strategy_1_w100_h500
,100,,100,10028,sample_strategy_1_w100_h500,100,10028,sample_strategy_1_w100_h500
,100,,100,10023,sample_strategy_1_w100_h500,100,10023,sample_strategy_1_w100_h500
,100,,200,20045,sample_strategy_1_w200_h500,200,20045,sample_strategy_1_w200_h500
,100,,200,20044,sample_strategy_1_w200_h500,200,20044,sample_strategy_1_w200_h500
,100,,200,20041,sample_strategy_1_w200_h500,200,20041,sample_strategy_1_w200_h500
,100,,200,20052,sample_strategy_1_w200_h500,200,20052,sample_strategy_1_w200_h500
,100,,200,20049,sample_strategy_1_w200_h500,200,20049,sample_strategy_1_w200_h500
,100,,200,20051,sample_strategy_1_w200_h500,200,20051,sample_strategy_1_w200_h500
,100,,200,20048,sample_strategy_1_w200_h500,200,20048,sample_strategy_1_w200_h500
,100,,200,20051,sample_strategy_1_w200_h500,200,20051,sample_strategy_1_w200_h500
,100,,200,20051,sample_strategy_1_w200_h500,200,20051,sample_strategy_1_w200_h500
,100,,4,401,sample_strategy_2_w10_h500,10,401,sample_strategy_2_w10_h500
,100,,4,401,sample_strategy_2_w10_h500,10,401,sample_strategy_2_w10_h500
,100,,4,401,sample_strategy_2_w10_h500,10,401,sample_strategy_2_w10_h500
,100,,4,401,sample_strategy_2_w10_h500,10,401,sample_strategy_2_w10_h500
,100,,4,401,sample_strategy_2_w10_h500,10,401,sample_strategy_2_w10_h500
,100,,4,401,sample_strategy_2_w10_h500,10,401,sample_strategy_2_w10_h500
,100,,4,401,sample_strategy_2_w10_h500,10,401,sample_strategy_2_w10_h500
,100,,4,401,sample_strategy_2_w10_h500,10,401,sample_strategy_2_w10_h500
,100,,4,401,sample_strategy_2_w10_h500,10,401,sample_strategy_2_w10_h500
,100,,5,502,sample_strategy_2_w20_h500,20,502,sample_strategy_2_w20_h500
,100,,5,501,sample_strategy_2_w20_h500,20,501,sample_strategy_2_w20_h500
,100,,5,501,sample_strategy_2_w20_h500,20,501,sample_strategy_2_w20_h500
,100,,5,501,sample_strategy_2_w20_h500,20,501,sample_strategy_2_w20_h500
,100,,5,500,sample_strategy_2_w20_h500,20,500,sample_strategy_2_w20_h500
,100,,5,500,sample_strategy_2_w20_h500,20,500,sample_strategy_2_w20_h500
,100,,5,502,sample_strategy_2_w20_h500,20,502,sample_strategy_2_w20_h500
,100,,5,501,sample_strategy_2_w20_h500,20,501,sample_strategy_2_w20_h500
,100,,5,501,sample_strategy_2_w20_h500,20,501,sample_strategy_2_w20_h500
,100,,6,601,sample_strategy_2_w50_h500,50,601,sample_strategy_2_w50_h500
,100,,6,601,sample_strategy_2_w50_h500,50,601,sample_strategy_2_w50_h500
,100,,6,602,sample_strategy_2_w50_h500,50,602,sample_strategy_2_w50_h500
,100,,6,601,sample_strategy_2_w50_h500,50,601,sample_strategy_2_w50_h500
,100,,6,601,sample_strategy_2_w50_h500,50,601,sample_strategy_2_w50_h500
,100,,6,602,sample_strategy_2_w50_h500,50,602,sample_strategy_2_w50_h500
,100,,6,601,sample_strategy_2_w50_h500,50,601,sample_strategy_2_w50_h500
,100,,6,601,sample_strategy_2_w50_h500,50,601,sample_strategy_2_w50_h500
,100,,6,602,sample_strategy_2_w50_h500,50,602,sample_strategy_2_w50_h500
,100,,7,702,sample_strategy_2_w100_h500,100,702,sample_strategy_2_w100_h500
,100,,7,702,sample_strategy_2_w100_h500,100,702,sample_strategy_2_w100_h500
,100,,7,702,sample_strategy_2_w100_h500,100,702,sample_strategy_2_w100_h500
,100,,7,702,sample_strategy_2_w100_h500,100,702,sample_strategy_2_w100_h500
,100,,7,702,sample_strategy_2_w100_h500,100,702,sample_strategy_2_w100_h500
,100,,7,702,sample_strategy_2_w100_h500,100,702,sample_strategy_2_w100_h500
,100,,7,702,sample_strategy_2_w100_h500,100,702,sample_strategy_2_w100_h500
,100,,7,702,sample_strategy_2_w100_h500,100,702,sample_strategy_2_w100_h500
,100,,7,702,sample_strategy_2_w100_h500,100,702,sample_strategy_2_w100_h500
,100,,8,802,sample_strategy_2_w200_h500,200,802,sample_strategy_2_w200_h500
,100,,8,801,sample_strategy_2_w200_h500,200,801,sample_strategy_2_w200_h500
,100,,8,801,sample_strategy_2_w200_h500,200,801,sample_strategy_2_w200_h500
,100,,8,802,sample_strategy_2_w200_h500,200,802,sample_strategy_2_w200_h500
,100,,8,803,sample_strategy_2_w200_h500,200,803,sample_strategy_2_w200_h500
,100,,8,803,sample_strategy_2_w200_h500,200,803,sample_strategy_2_w200_h500
,100,,8,802,sample_strategy_2_w200_h500,200,802,sample_strategy_2_w200_h500
,100,,8,802,sample_strategy_2_w200_h500,200,802,sample_strategy_2_w200_h500
,100,,8,802,sample_strategy_2_w200_h500,200,802,sample_strategy_2_w200_h500
,100,,0,500,sample_strategy_3_w10_h500,10,500,sample_strategy_3_w10_h500
,100,,1,601,sample_strategy_3_w10_h500,10,601,sample_strategy_3_w10_h500
,100,,0,500,sample_strategy_3_w10_h500,10,500,sample_strategy_3_w10_h500
,100,,1,600,sample_strategy_3_w10_h500,10,600,sample_strategy_3_w10_h500
,100,,0,500,sample_strategy_3_w10_h500,10,500,sample_strategy_3_w10_h500
,100,,0,500,sample_strategy_3_w10_h500,10,500,sample_strategy_3_w10_h500
,100,,1,600,sample_strategy_3_w10_h500,10,600,sample_strategy_3_w10_h500
,100,,1,601,sample_strategy_3_w10_h500,10,601,sample_strategy_3_w10_h500
,100,,0,500,sample_strategy_3_w10_h500,10,500,sample_strategy_3_w10_h500
,100,,0,500,sample_strategy_3_w20_h500,20,500,sample_strategy_3_w20_h500
,100,,1,601,sample_strategy_3_w20_h500,20,601,sample_strategy_3_w20_h500
,100,,0,501,sample_strategy_3_w20_h500,20,501,sample_strategy_3_w20_h500
,100,,1,600,sample_strategy_3_w20_h500,20,600,sample_strategy_3_w20_h500
,100,,0,501,sample_strategy_3_w20_h500,20,501,sample_strategy_3_w20_h500
,100,,1,601,sample_strategy_3_w20_h500,20,601,sample_strategy_3_w20_h500
,100,,1,600,sample_strategy_3_w20_h500,20,600,sample_strategy_3_w20_h500
,100,,2,701,sample_strategy_3_w20_h500,20,701,sample_strategy_3_w20_h500
,100,,2,701,sample_strategy_3_w20_h500,20,701,sample_strategy_3_w20_h500
,100,,1,601,sample_strategy_3_w50_h500,50,601,sample_strategy_3_w50_h500
,100,,5,1001,sample_strategy_3_w50_h500,50,1001,sample_strategy_3_w50_h500
,100,,0,500,sample_strategy_3_w50_h500,50,500,sample_strategy_3_w50_h500
,100,,5,1002,sample_strategy_3_w50_h500,50,1002,sample_strategy_3_w50_h500
,100,,1,600,sample_strategy_3_w50_h500,50,600,sample_strategy_3_w50_h500
,100,,2,701,sample_strategy_3_w50_h500,50,701,sample_strategy_3_w50_h500
,100,,1,601,sample_strategy_3_w50_h500,50,601,sample_strategy_3_w50_h500
,100,,3,802,sample_strategy_3_w50_h500,50,802,sample_strategy_3_w50_h500
,100,,4,902,sample_strategy_3_w50_h500,50,902,sample_strategy_3_w50_h500
,100,,5,1002,sample_strategy_3_w100_h500,100,1002,sample_strategy_3_w100_h500
,100,,6,1101,sample_strategy_3_w100_h500,100,1101,sample_strategy_3_w100_h500
,100,,5,1001,sample_strategy_3_w100_h500,100,1001,sample_strategy_3_w100_h500
,100,,6,1102,sample_strategy_3_w100_h500,100,1102,sample_strategy_3_w100_h500
,100,,5,1001,sample_strategy_3_w100_h500,100,1001,sample_strategy_3_w100_h500
,100,,4,901,sample_strategy_3_w100_h500,100,901,sample_strategy_3_w100_h500
,100,,2,700,sample_strategy_3_w100_h500,100,700,sample_strategy_3_w100_h500
,100,,5,1002,sample_strategy_3_w100_h500,100,1002,sample_strategy_3_w100_h500
,100,,8,1303,sample_strategy_3_w100_h500,100,1303,sample_strategy_3_w100_h500
,100,,15,2004,sample_strategy_3_w200_h500,200,2004,sample_strategy_3_w200_h500
,100,,13,1803,sample_strategy_3_w200_h500,200,1803,sample_strategy_3_w200_h500
,100,,8,1301,sample_strategy_3_w200_h500,200,1301,sample_strategy_3_w200_h500
,100,,13,1804,sample_strategy_3_w200_h500,200,1804,sample_strategy_3_w200_h500
,100,,15,2003,sample_strategy_3_w200_h500,200,2003,sample_strategy_3_w200_h500
,100,,10,1503,sample_strategy_3_w200_h500,200,1503,sample_strategy_3_w200_h500
,100,,7,1203,sample_strategy_3_w200_h500,200,1203,sample_strategy_3_w200_h500
,100,,11,1604,sample_strategy_3_w200_h500,200,1604,sample_strategy_3_w200_h500
,100,,12,1703,sample_strategy_3_w200_h500,200,1703,sample_strategy_3_w200_h500
